customer_id,first_name,last_name,total_revenue,total_rentals,revenue_per_rental
187,BRITTANY,RILEY,159.72,28,5.704286
433,DON,BONE,133.75,25,5.350000
321,KEVIN,SCHULER,116.78,22,5.308182
259,LENA,JENSEN,168.68,32,5.271250
542,LONNIE,TIRADO,94.82,18,5.267778
311,PAUL,TROUT,120.77,23,5.250870
19,RUTH,MARTINEZ,125.76,24,5.240000
3,LINDA,WILLIAMS,135.74,26,5.220769
285,MIRIAM,MCKINNEY,135.74,26,5.220769
22,LAURA,RODRIGUEZ,113.78,22,5.171818
181,ANA,BRADLEY,174.66,34,5.137059
583,MARSHALL,THORN,117.77,23,5.120435
293,MAE,FLETCHER,158.69,31,5.119032
508,MILTON,HOWLAND,127.75,25,5.110000
522,ARNOLD,HAVENS,167.67,33,5.080909
432,EDWIN,BURK,116.77,23,5.076957
571,JOHNNIE,CHISHOLM,121.76,24,5.073333
200,JEANNE,LAWSON,136.73,27,5.064074
209,TONYA,CHAPMAN,161.68,32,5.052500
509,RAUL,FORTIER,100.80,20,5.040000
429,FREDERICK,ISBELL,105.79,21,5.037619
82,KATHRYN,COLEMAN,130.74,26,5.028462
470,GORDON,ALLARD,160.68,32,5.021250
137,RHONDA,KENNEDY,194.61,39,4.990000
178,MARION,SNYDER,194.61,39,4.990000
315,KENNETH,GOODEN,84.83,17,4.990000
449,OSCAR,AQUINO,99.80,20,4.990000
477,DAN,PAINE,109.78,22,4.990000
550,GUY,BROWNLEE,159.68,32,4.990000
591,KENT,ARSENAULT,134.73,27,4.990000
337,JERRY,JORDON,143.71,29,4.955517
363,ROY,WHITING,143.71,29,4.955517
59,CHERYL,MURPHY,133.73,27,4.952963
47,FRANCES,PARKER,108.78,22,4.944545
272,KAY,CALDWELL,98.80,20,4.940000
483,VERNON,CHAPA,88.82,18,4.934444
398,ANTONIO,MEEK,78.84,16,4.927500
526,KARL,SEAL,221.55,45,4.923333
459,TOMMY,COLLAZO,186.62,38,4.911053
490,SAM,MCDUFFIE,117.76,24,4.906667
585,PERRY,SWAFFORD,117.76,24,4.906667
493,BRENT,HARKINS,112.77,23,4.903043
310,DANIEL,CABRAL,97.80,20,4.890000
39,DEBRA,NELSON,141.71,29,4.886552
13,KAREN,JACKSON,131.73,27,4.878889
194,KRISTEN,CHAVEZ,87.82,18,4.878889
346,ARTHUR,SIMPKINS,155.68,32,4.865000
453,CALVIN,MARTEL,111.77,23,4.859565
87,WANDA,PATTERSON,145.70,30,4.856667
50,DIANE,COLLINS,169.65,35,4.847143
558,JIMMIE,EGGLESTON,135.72,28,4.847143
594,EDUARDO,HIATT,130.73,27,4.841852
462,WARREN,SHERROD,159.67,33,4.838485
436,TROY,QUIGLEY,144.70,30,4.823333
146,JAMIE,RICE,139.71,29,4.817586
467,ALVIN,DELOACH,139.71,29,4.817586
389,ALAN,KAHN,124.74,26,4.797692
513,DUANE,TUBBS,148.69,31,4.796452
349,JOE,GILLILAND,138.71,29,4.783103
482,MAURICE,CRAWLEY,138.71,29,4.783103
427,JESUS,MCCARTNEY,114.76,24,4.781667
92,TINA,SIMMONS,133.72,28,4.775714
504,NATHANIEL,ADAM,133.72,28,4.775714
532,NEIL,RENNER,152.68,32,4.771250
2,PATRICIA,JOHNSON,128.73,27,4.767778
434,EDDIE,TOMLIN,128.73,27,4.767778
309,CHRISTOPHER,GRECO,147.69,31,4.764194
247,STELLA,MORENO,104.78,22,4.762727
403,MIKE,WAY,166.65,35,4.761429
289,VIOLET,RODRIQUEZ,142.70,30,4.756667
347,RYAN,SALISBURY,142.70,30,4.756667
223,MELINDA,FERNANDEZ,80.83,17,4.754706
489,RICARDO,MEADOR,99.79,21,4.751905
41,STEPHANIE,MITCHELL,118.75,25,4.750000
531,JAMIE,WAUGH,118.75,25,4.750000
221,BESSIE,MORRISON,132.72,28,4.740000
103,GLADYS,HAMILTON,146.69,31,4.731935
479,ZACHARY,HITE,146.69,31,4.731935
45,JANET,PHILLIPS,127.73,27,4.730741
472,GREG,ROBINS,141.70,30,4.723333
510,BEN,EASTER,122.74,26,4.720769
65,ROSE,HOWARD,103.78,22,4.717273
536,FERNANDO,CHURCHILL,117.75,25,4.710000
148,ELEANOR,HUNT,216.54,46,4.707391
17,DONNA,THOMPSON,98.79,21,4.704286
540,TYRONE,ASHER,112.76,24,4.698333
206,TERRI,VASQUEZ,126.73,27,4.693704
426,BRADLEY,MOTLEY,126.73,27,4.693704
176,JUNE,CARROLL,173.63,37,4.692703
246,MARIAN,MENDOZA,107.77,23,4.685652
249,DORA,MEDINA,107.77,23,4.685652
149,VALERIE,BLACK,121.74,26,4.682308
448,MIGUEL,BETANCOURT,135.71,29,4.679655
49,JOYCE,EDWARDS,130.72,28,4.668571
372,STEVE,MACKENZIE,158.66,34,4.666471
140,EVA,RAMOS,83.82,18,4.656667
144,CLARA,SHAW,195.58,42,4.656667
404,STANLEY,SCROGGINS,139.70,30,4.656667
484,ROBERTO,VU,139.70,30,4.656667
505,RAFAEL,ABNEY,97.79,21,4.656667
105,DAWN,SULLIVAN,120.74,26,4.643846
225,ARLENE,HARVEY,120.74,26,4.643846
423,ALFRED,CASILLAS,120.74,26,4.643846
495,CHARLIE,BESS,120.74,26,4.643846
341,PETER,MENARD,106.77,23,4.642174
345,CARL,ARTIS,106.77,23,4.642174
379,CARLOS,COUGHLIN,106.77,23,4.642174
497,GILBERT,SLEDGE,129.72,28,4.632857
589,TRACY,HERRMANN,129.72,28,4.632857
367,ADAM,GOOCH,101.78,22,4.626364
390,SHAWN,HEATON,152.67,33,4.626364
480,COREY,HAUSER,101.78,22,4.626364
554,DWAYNE,OLVERA,101.78,22,4.626364
524,JARED,ELY,87.81,19,4.621579
491,RICK,MATTOX,124.73,27,4.619630
373,LOUIS,LEONE,161.65,35,4.618571
258,MYRTLE,FLEMING,110.76,24,4.615000
375,AARON,SELBY,110.76,24,4.615000
464,JEROME,KENYON,73.84,16,4.615000
179,DANA,HART,133.71,29,4.610690
265,JENNIE,TERRY,133.71,29,4.610690
170,BEATRICE,ARNOLD,119.74,26,4.605385
487,HECTOR,POINDEXTER,119.74,26,4.605385
322,JASON,MORRISSEY,128.72,28,4.597143
7,MARIA,MILLER,151.67,33,4.596061
454,ALEX,GRESHAM,151.67,33,4.596061
80,MARILYN,ROSS,137.70,30,4.590000
212,WILMA,RICHARDS,91.80,20,4.590000
343,DOUGLAS,GRAF,114.75,25,4.590000
55,DORIS,REED,100.78,22,4.580909
316,STEVEN,CURLEY,132.71,29,4.576207
78,LORI,WOOD,141.69,31,4.570645
195,VANESSA,SIMS,86.81,19,4.568947
478,LEWIS,LYMAN,86.81,19,4.568947
409,RODNEY,MOELLER,104.77,23,4.555217
466,LEO,EBERT,104.77,23,4.555217
362,NICHOLAS,BARFIELD,145.68,32,4.552500
582,ANDY,VANHORN,113.75,25,4.550000
331,ERIC,ROBERT,122.73,27,4.545556
494,RAMON,CHOATE,140.69,31,4.538387
67,KELLY,TORRES,99.78,22,4.535455
541,DARREN,WINDHAM,108.76,24,4.531667
240,MARLENE,WELCH,117.74,26,4.528462
284,SONIA,GREGORY,126.72,28,4.525714
515,ANDRE,RAPP,126.72,28,4.525714
56,GLORIA,COOK,135.70,30,4.523333
334,RAYMOND,MCWHORTER,135.70,30,4.523333
277,OLGA,JIMENEZ,144.68,32,4.521250
48,ANN,EVANS,76.83,17,4.519412
119,SHERRY,MARSHALL,153.66,34,4.519412
238,NELLIE,GARRETT,94.79,21,4.513810
