employeeNumber,firstName,lastName,total_revenue
1370,Gerard,Hernandez,1258577.81
1165,Leslie,Jennings,1081530.54
1401,Pamela,Castillo,868220.55
1501,Larry,Bott,732096.79
1504,Barry,Jones,704853.91
1323,George,Vanauf,669377.05
1612,Peter,Marsh,584593.76
1337,Loui,Bondur,569485.75
1611,Andy,Fixter,562582.59
1216,Steve,Patterson,505875.42
1286,Foon Yue,Tseng,488212.67
1621,Mami,Nishi,457110.07
1702,Martin,Gerard,387477.47
1188,Julie,Firrelli,386663.20
1166,Leslie,Thompson,347533.03
